id,weight,state,dist,pres_economy,dem_party,rep_party,hhold_size,current_economy,buy_guns,important_english,syrian,global_warming,abortion,age,number_children,length_community,dem_candidate,rep_candidate,feminists,liberals,conservatives,gays,muslims,christians,jews,trans,scientists,black_lives,vaccine_school,immigrant_level,vaccine_risk,marijuana,imm_harm,align_democrat,hispanics,blacks,illegal_imm,whites,vote_trump,distrust,corrupt,wrong_track,support_wall,deny_syrians,minority_adapt,imm_level_high,authority,ei,ei_lag,union,insurance,inequal,worry_finances,ur_dist,poor_economy,since_08,last_yr,next_yr,dem_economy,rep_economy,rep_id,dem_id,ind_id,male,less_hs,hs,some_ps,ps,ps_plus,race_vm,imm,military,married,divorced,widowed,single,children,born_again,poor_health,employed,unemployed,not_lf,jobless,job_insecurity,new_england,mideast,great_lakes,plains,southeast,southwest,rocky,far_west,income
302396,.419,6,25,4,50,50,6,5,3,1,7,1,1,36,4,32,60,50,50,50,60,50,30,60,50,15,70,50,2,4,4,3,4,,50,50,30,60,,0,0,1,0,1,0,0,8,0,0,0,1,4,2,6.4,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
302400,3.02,22,5,4,90,80,4,2,3,1,7,1,1,19,0,18,60,100,70,40,85,60,70,85,70,50,100,100,7,1,4,3,3,1,50,70,100,70,1,0,0,1,0,1,1,0,6,0,0,0,0,4,2,6.9,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
302402,1.824,12,9,4,0,85,6,3,3,1,7,2,1,47,2,22,0,100,0,0,100,40,15,85,100,0,85,0,7,5,7,2,5,0,,,,,1,0,0,1,1,1,1,1,2,0,0,0,1,4,5,6.4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,77027
302403,.622,24,6,4,0,85,7,4,3,1,7,2,1,31,5,31,0,100,0,0,100,0,,100,,0,,6,4,5,1,3,4,0,0,50,0,85,1,1,1,1,1,1,1,1,6,0,0,0,1,3,3,5,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,21238
302404,.417,22,6,1,60,,1,3,1,2,4,1,2,72,0,40,85,,,70,,,,60,,,85,85,2,3,2,3,1,1,50,100,50,50,0,0,0,1,0,0,0,0,4,0,1,0,1,5,3,5.1,0,0,1,,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
302405,.576,20,4,4,70,40,2,5,1,1,7,1,2,54,0,10,70,15,70,70,60,100,0,100,100,100,85,15,1,5,1,1,5,1,50,50,0,50,,0,0,1,1,1,1,1,8,0,1,0,0,4,5,4.9,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,16144
302408,1.098,18,7,4,70,50,4,4,1,1,4,1,1,21,1,21,60,60,50,50,,50,50,70,50,,85,50,1,2,3,3,3,,60,70,1,70,,0,0,1,0,0,1,0,8,0,0,1,1,1,3,6.4,1,1,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25066
302414,.451,25,8,,60,30,1,4,1,1,7,1,4,,0,5,60,0,85,60,100,85,60,100,100,85,100,85,1,5,7,3,1,,50,60,50,50,0,1,1,1,,1,1,1,7,,0,0,1,4,4,5.6,1,1,1,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,
302417,1.124,37,1,1,50,85,3,5,1,1,7,1,2,24,1,5,15,15,60,30,70,15,0,100,60,15,60,50,1,5,2,1,4,,75,100,50,100,,0,0,1,1,1,1,1,6,0,1,0,0,5,5,7.4,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,15590
302420,.197,26,6,4,0,85,1,3,3,1,7,1,3,90,0,21,0,60,15,15,85,50,15,85,85,0,85,0,1,4,1,2,2,0,60,60,15,60,1,0,0,1,0,1,1,0,4,0,0,0,1,,2,4.6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,53690
302421,.424,27,6,3,30,60,5,3,3,2,6,1,2,38,3,12,15,40,70,50,70,85,70,70,70,85,70,40,4,4,2,2,2,0,50,50,30,50,1,0,0,1,0,1,1,0,2,0,0,,1,3,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,123762
302428,.927,47,5,4,50,80,4,4,1,1,7,1,1,43,0,3,50,100,70,70,85,85,70,100,85,85,100,85,7,5,4,1,1,1,30,60,30,100,,0,1,1,0,1,1,1,8,0,1,0,0,2,2,4.1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
302430,6.813,36,7,1,60,15,4,3,1,1,4,1,4,20,0,20,40,15,85,70,30,85,85,60,85,85,100,70,1,1,4,1,1,,90,90,70,50,0,0,0,0,0,0,1,0,2,0,0,,1,5,1,6.2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,244897
302434,.875,39,2,2,60,40,1,3,1,2,1,1,4,24,0,1,60,15,60,70,60,100,85,70,100,85,100,70,1,2,1,1,1,,80,85,40,85,0,0,1,1,0,0,0,0,0,0,1,0,1,5,3,4.8,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26990
302435,.824,20,3,1,85,40,2,2,1,1,2,1,3,80,0,40,100,20,85,85,70,100,100,100,100,85,85,85,1,5,1,2,1,1,85,95,85,95,0,0,0,0,0,0,0,1,4,0,0,0,1,5,3,4.1,0,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,75855
302443,.311,20,4,4,15,40,2,3,3,1,6,1,2,64,0,2,0,85,60,15,70,60,60,100,85,60,85,0,1,3,2,2,3,0,85,85,85,85,1,0,0,1,0,1,1,0,6,0,1,0,1,5,4,4.9,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,45739
302445,1.829,48,6,4,0,70,2,4,3,1,7,1,2,68,0,40,0,85,30,40,60,50,40,100,100,50,100,0,2,5,1,2,3,0,85,85,15,85,,0,0,1,1,1,1,1,5,0,0,0,1,5,1,4.5,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,267795
